"","Alabama_number_of_males","Alaska_number_of_males","Arizona_number_of_males","Arkansas_number_of_males","California_number_of_males","Colorado_number_of_males","Connecticut_number_of_males","Delaware_number_of_males","Florida_number_of_males","Georgia_number_of_males","Hawaii_number_of_males","Idaho_number_of_males","Illinois_number_of_males","Indiana_number_of_males","Iowa_number_of_males","Kansas_number_of_males","Kentucky_number_of_males","Louisiana_number_of_males","Maine_number_of_males","Maryland_number_of_males"
"William",366,36,174,"152",1021,236,150,30,529,553,29,95,"463",276,149,124,247,182,38,217
"James",304,34,215,"105",1148,233,151,36,602,435,33,92,"448",266,104,122,220,173,34,250
"John",267,20,97,"94",623,135,127,28,389,374,28,40,"308",136,54,82,148,182,22,141
"Elijah",254,42,284,"143",1586,203,101,45,944,526,38,81,"414",328,105,130,231,237,35,194
"Noah",243,35,397,"138",2625,261,212,52,1317,583,57,71,"710",324,130,135,209,218,48,353
"Liam",207,44,451,"158",2420,314,204,55,1563,591,61,122,"621",380,181,188,274,251,59,368
"Mason",187,25,192,"93",1052,132,111,36,571,324,34,48,"312",223,88,106,160,138,35,173
"Oliver",183,43,304,"125",1538,275,139,35,752,333,41,142,"607",403,213,159,235,145,92,197
"Henry",173,34,169,"97",842,240,117,18,340,307,30,97,"475",296,163,160,173,135,70,185
"Jackson",166,25,163,"109",742,191,112,28,443,294,21,57,"305",258,105,94,174,102,48,162
"Samuel",162,24,176,"95",935,156,73,23,514,285,20,72,"261",186,79,82,146,93,27,140
"Jaxon",160,23,135,"90",515,83,65,25,332,215,29,43,"189",161,60,56,128,106,21,135
"Asher",157,26,160,"109",588,132,57,23,496,335,26,62,"190",231,97,91,156,129,31,116
"Grayson",156,24,134,"110",453,114,78,26,408,279,21,51,"241",219,82,82,172,146,36,106
"Levi",153,28,185,"86",1031,142,69,27,462,303,33,51,"264",207,79,86,175,147,39,150
"Michael",146,26,198,"58",1070,122,156,34,649,299,20,38,"434",194,68,87,106,139,24,193
"Carter",145,17,137,"84",498,125,80,41,459,296,20,54,"267",206,84,76,153,126,34,115
"Benjamin",134,33,289,"96",1645,204,166,29,728,282,28,76,"542",265,95,124,134,128,44,223
"Charles",133,17,84,"51",478,126,93,16,264,224,15,40,"296",127,47,56,106,105,28,121
"Wyatt",131,17,164,"116",640,192,67,24,362,270,20,58,"256",209,108,127,150,166,43,135
"Thomas",119,20,98,"61",550,117,83,22,312,230,15,49,"251",112,59,66,72,101,26,112
"Aiden",113,14,185,"80",1271,141,102,27,541,327,35,55,"286",172,58,68,98,102,29,168
"Luke",111,25,177,"82",880,143,97,28,458,229,33,57,"230",161,62,73,105,122,27,130
"David",110,18,187,"61",1163,130,67,28,520,274,18,34,"292",168,59,73,97,83,20,152
"Owen",109,28,146,"67",718,192,114,28,341,193,17,74,"377",265,120,91,149,121,50,169
"Daniel",102,21,214,"61",1482,154,115,36,668,270,22,45,"369",161,47,67,89,77,19,204
"Logan",101,21,185,"69",1152,176,150,20,589,267,37,50,"385",189,68,77,106,90,24,177
"Joseph",100,18,168,"62",996,108,109,29,447,253,26,35,"300",163,56,68,102,127,18,171
"Lucas",100,22,185,"89",1354,186,140,35,970,280,36,50,"400",238,74,94,146,115,49,231
"Joshua",96,22,95,"63",796,99,43,20,397,239,28,23,"192",106,39,52,70,104,14,147
"Jack",91,17,159,"71",808,213,148,23,407,218,24,65,"403",183,120,87,89,92,54,127
"Alexander",90,20,260,"56",1583,165,138,30,665,300,25,43,"435",185,68,87,113,75,24,168
"Maverick",88,20,125,"85",578,92,41,13,352,200,28,43,"194",180,116,73,145,91,31,93
"Gabriel",86,25,175,"71",809,98,83,25,570,209,27,32,"256",158,47,74,102,104,20,120
"Ethan",81,14,175,"69",1650,124,113,32,681,298,28,42,"329",154,47,69,72,106,24,214
"Eli",78,15,111,"46",634,89,41,15,288,152,17,32,"150",118,48,40,94,132,20,82
"Isaac",78,16,170,"66",1048,114,59,25,404,223,15,34,"224",155,60,64,78,61,17,118
"Hunter",74,20,102,"45",457,80,77,16,232,151,25,29,"149",121,41,50,97,63,22,89
"Ezra",72,17,191,"77",1038,130,44,17,356,193,33,71,"180",155,65,75,88,73,19,105
"Theodore",61,40,155,"38",839,229,119,17,339,177,18,53,"402",244,163,115,109,68,57,166
