"","Alabama_rank","Alaska_rank","Arizona_rank","Arkansas_rank","California_rank","Colorado_rank","Connecticut_rank","Delaware_rank","Florida_rank","Georgia_rank","Hawaii_rank","Idaho_rank","Illinois_rank","Indiana_rank","Iowa_rank","Kansas_rank","Kentucky_rank","Louisiana_rank","Maine_rank","Maryland_rank"
"William",1,5,27,"2",32,5,7,15,22,3,17,4,"6",7,5,8,2,5,15,6
"James",2,8,10,"11",20,6,5,7,14,5,11,5,"7",8,15,9,5,6,20,3
"John",3,31,82,"15",68,30,13,20,40,6,20,45,"25",47,52,25,18,4,51,29
"Elijah",4,3,7,"3",8,10,27,3,4,4,4,6,"11",3,12,5,4,2,17,10
"Noah",5,6,2,"4",1,3,1,2,2,2,2,12,"1",4,6,4,6,3,9,2
"Liam",6,1,1,"1",2,1,2,1,1,1,1,2,"2",2,2,1,1,1,3,1
"Mason",7,19,15,"16",27,33,21,8,18,10,9,29,"24",15,19,12,13,12,18,16
"Oliver",8,2,4,"5",10,2,10,10,5,8,3,1,"3",1,1,3,3,10,1,9
"Henry",9,7,33,"12",43,4,16,49,56,11,15,3,"5",5,3,2,11,13,2,13
"Jackson",10,17,37,"9",53,13,20,19,32,17,38,18,"26",11,13,14,10,33,8,23
"Samuel",11,21,24,"14",39,19,43,39,24,18,45,10,"36",23,27,26,20,36,35,30
"Jaxon",12,22,50,"17",85,69,50,30,59,41,16,39,"63",31,41,58,25,28,53,32
"Asher",13,13,39,"8",75,31,57,36,27,7,25,14,"62",14,16,17,14,15,23,46
"Grayson",14,20,52,"7",100,45,39,26,35,21,37,24,"43",17,24,24,12,9,16,54
"Levi",15,10,20,"19",31,24,46,24,28,12,12,25,"34",19,26,22,8,8,13,26
"Michael",16,14,13,"43",25,40,4,11,13,14,44,48,"10",21,35,21,33,11,43,11
"Carter",17,41,48,"21",87,38,38,4,29,16,42,22,"32",20,22,29,15,19,19,47
"Benjamin",18,9,5,"13",7,9,3,16,6,19,18,7,"4",9,17,7,23,16,10,5
"Charles",19,42,98,"58",92,37,31,61,74,35,65,44,"28",56,72,57,31,29,29,41
"Wyatt",20,47,36,"6",65,12,48,35,48,25,46,17,"39",18,11,6,16,7,11,33
"Thomas",24,33,80,"39",81,43,37,41,63,33,70,28,"40",68,43,46,62,34,37,50
"Aiden",26,55,19,"23",15,26,26,23,20,9,8,20,"30",27,44,42,38,32,26,20
"Luke",28,18,23,"22",41,23,29,21,30,34,13,19,"46",32,39,35,34,20,33,35
"David",29,37,18,"38",18,34,47,18,23,22,50,53,"29",28,42,33,41,50,55,25
"Owen",30,12,46,"31",54,11,18,22,54,53,59,9,"16",10,8,18,17,21,6,19
"Daniel",35,26,11,"37",11,20,17,6,10,24,36,34,"17",30,73,45,46,63,60,8
"Logan",37,27,21,"29",19,15,6,45,16,26,5,26,"15",22,34,28,32,44,42,14
"Joseph",38,39,35,"36",36,48,22,17,31,28,26,51,"27",29,50,44,36,17,67,18
"Lucas",39,24,22,"18",12,14,9,9,3,20,7,27,"14",13,29,15,19,24,7,4
"Joshua",43,23,85,"34",48,52,86,44,39,32,21,94,"61",74,97,63,66,31,96,27
"Jack",47,44,40,"27",47,8,8,37,36,38,33,13,"12",25,7,20,48,37,5,39
"Alexander",50,28,8,"47",9,17,11,14,11,13,28,38,"9",24,33,19,27,64,39,21
"Maverick",52,32,59,"20",77,59,90,88,52,49,22,40,"59",26,9,36,21,42,24,66
"Gabriel",57,15,26,"26",46,53,36,28,19,43,23,59,"38",34,75,31,35,30,57,42
"Ethan",65,57,25,"28",6,39,19,12,7,15,19,42,"19",37,74,39,61,27,41,7
"Eli",67,50,70,"72",66,61,89,66,70,82,54,58,"86",63,65,90,44,14,56,73
"Isaac",68,48,31,"32",28,46,55,29,37,36,66,55,"50",36,40,48,55,92,71,44
"Hunter",72,29,77,"76",96,73,41,62,88,83,29,64,"88",61,93,68,42,82,49,69
"Ezra",75,43,16,"24",29,35,84,57,50,52,10,11,"67",35,38,30,50,68,62,56
"Theodore",95,4,45,"93",44,7,15,60,57,64,53,23,"13",12,4,11,30,73,4,22
