"","Female_name","Alabama_number_of_females","Alaska_number_of_females","Arizona_number_of_females","Arkansas_number_of_females","California_number_of_females","Colorado_number_of_females","Connecticut_number_of_females","Delaware_number_of_females","Florida_number_of_females","Georgia_number_of_females","Hawaii_number_of_females","Idaho_number_of_females","Illinois_number_of_females","Indiana_number_of_females","Iowa_number_of_females","Kansas_number_of_females","Kentucky_number_of_females","Louisiana_number_of_females","Maine_number_of_females","Maryland_number_of_females"
"1","Ava",256,33,245,"115",1226,182,146,34,826,574,37,52,"487",313,111,108,215,261,44,272
"2","Olivia",239,37,410,"132",2350,322,194,42,1103,548,59,97,"639",328,169,189,220,212,59,284
"3","Emma",225,30,373,"129",2104,259,168,35,1127,388,33,77,"568",319,118,140,217,190,53,252
"4","Charlotte",199,41,247,"98",1175,280,192,51,671,372,28,96,"517",329,145,146,178,153,72,219
"5","Harper",192,20,162,"120",616,156,90,26,415,296,16,76,"280",232,110,94,212,153,59,136
"6","Amelia",191,43,260,"125",1254,204,142,36,797,399,38,68,"487",317,116,117,240,225,48,174
"7","Elizabeth",170,8,140,"71",711,124,73,15,415,274,14,40,"243",158,73,75,119,104,23,135
"8","Evelyn",155,29,198,"79",1017,189,81,22,331,275,22,73,"409",247,138,113,129,116,56,141
"9","Isabella",140,11,307,"82",1865,186,156,39,1026,308,40,41,"432",202,79,102,157,117,29,195
"10","Ella",133,21,135,"66",803,113,110,22,425,221,21,41,"242",140,73,66,104,128,31,103
"11","Avery",126,10,120,"81",720,139,75,13,308,195,13,45,"246",150,69,70,96,114,31,122
"12","Abigail",113,25,182,"69",1063,138,75,24,521,232,18,56,"266",149,65,70,126,100,30,148
"13","Sophia",110,35,357,"85",1995,224,164,26,931,317,42,62,"496",258,102,123,146,114,39,234
"14","Layla",106,9,118,"58",742,93,63,24,372,191,12,26,"233",148,55,57,102,85,19,134
"15","Mia",106,14,321,"67",2038,166,153,32,824,241,33,40,"406",166,91,79,119,115,14,175
"16","Madison",102,15,118,"51",654,91,93,19,404,241,26,32,"197",85,44,47,63,86,20,142
"17","Lily",96,12,111,"42",568,87,51,14,310,156,23,42,"188",90,45,49,77,65,20,92
"18","Ellie",93,15,108,"55",685,86,38,13,270,145,22,56,"167",136,60,62,127,79,21,85
"19","Nova",93,13,80,"48",395,69,41,21,285,244,21,31,"157",153,57,47,101,105,20,91
"20","Eleanor",90,25,89,"73",477,143,67,15,208,157,12,52,"291",198,94,97,118,86,37,98
"21","Zoey",86,12,108,"36",658,97,48,14,317,178,18,32,"222",135,37,64,76,74,20,100
"22","Brooklyn",80,12,77,"60",385,89,38,9,214,173,11,22,"170",102,39,46,64,94,17,53
"23","Riley",79,14,77,"45",529,91,91,23,297,192,21,24,"167",89,35,42,81,80,18,120
"24","Nora",77,14,75,"49",398,122,63,15,176,121,14,37,"266",189,85,65,69,65,27,108
"25","Aria",67,21,174,"38",932,103,78,21,401,201,27,24,"243",133,55,64,54,64,20,91
"26","Mila",65,8,200,"44",1007,108,95,20,506,159,34,23,"280",141,68,61,71,82,13,98
"27","Stella",65,10,68,"43",460,85,55,11,286,136,15,29,"158",131,74,61,89,83,13,70
"28","Natalie",60,10,97,"28",542,65,50,16,161,96,10,28,"185",86,51,57,55,54,26,82
"29","Luna",58,14,220,"68",1460,141,76,18,538,223,38,40,"232",152,55,59,75,55,19,129
"30","Penelope",58,14,171,"41",966,125,65,15,360,123,10,29,"222",143,54,55,55,56,26,93
"31","Aurora",50,33,155,"60",606,51,41,11,377,130,23,31,"145",139,65,61,73,60,20,63
"32","Claire",40,12,62,"32",334,82,40,18,163,98,11,41,"166",96,48,55,38,56,23,70
