"","Alabama_rank","Alaska_rank","Arizona_rank","Arkansas_rank","California_rank","Colorado_rank","Connecticut_rank","Delaware_rank","Florida_rank","Georgia_rank","Hawaii_rank","Idaho_rank","Illinois_rank","Indiana_rank","Iowa_rank","Kansas_rank","Kentucky_rank","Louisiana_rank","Maine_rank","Maryland_rank"
"Ava",1,6,9,"5",12,8,7,6,5,1,6,11,"6",5,6,7,4,1,7,2
"Olivia",2,3,1,"1",1,1,1,2,2,2,1,1,"1",2,1,1,2,3,3,1
"Emma",3,7,2,"2",3,3,3,5,1,4,8,3,"2",3,4,3,3,4,5,3
"Charlotte",4,2,8,"6",13,2,2,1,8,5,10,2,"3",1,2,2,6,5,1,5
"Harper",5,16,19,"4",41,10,15,9,21,8,38,4,"14",8,7,10,5,6,2,14
"Amelia",6,1,7,"3",10,5,8,4,7,3,4,6,"5",4,5,5,1,2,6,8
"Elizabeth",7,88,24,"14",28,19,28,36,20,10,47,23,"23",15,15,12,13,17,30,15
"Evelyn",8,8,13,"11",16,6,19,15,28,9,19,5,"8",7,3,6,10,9,4,11
"Isabella",10,50,5,"9",6,7,5,3,3,7,3,20,"7",9,13,8,7,8,19,6
"Ella",12,15,25,"20",23,24,9,14,19,16,21,19,"25",27,16,19,18,7,15,28
"Avery",13,54,29,"10",26,14,26,50,34,21,50,14,"20",20,17,15,22,11,14,22
"Abigail",14,9,15,"15",14,16,25,11,12,14,28,9,"17",21,22,14,12,18,16,9
"Sophia",15,4,3,"7",5,4,4,10,4,6,2,7,"4",6,8,4,9,13,8,4
"Layla",16,73,31,"23",25,33,32,12,25,23,65,57,"26",22,35,32,20,26,45,16
"Mia",17,29,4,"18",4,9,6,7,6,13,9,25,"9",12,11,11,14,10,79,7
"Madison",20,26,32,"29",36,34,12,25,22,12,13,37,"32",70,49,46,53,25,39,10
"Lily",21,45,34,"45",45,40,44,45,33,39,16,17,"36",59,48,44,36,49,38,34
"Ellie",23,25,37,"26",30,42,65,52,41,42,18,10,"43",29,28,25,11,32,33,41
"Nova",24,40,60,"34",71,59,60,19,39,11,23,41,"52",17,31,47,21,15,41,37
"Eleanor",25,10,51,"12",60,12,30,35,66,38,59,12,"13",10,10,9,15,24,10,31
"Zoey",30,46,38,"59",35,32,50,49,31,30,33,38,"29",31,67,22,38,38,43,30
"Brooklyn",34,41,63,"22",75,36,64,79,61,31,70,78,"40",46,55,49,52,21,55,91
"Riley",36,32,65,"39",55,35,14,13,35,22,24,72,"44",63,77,60,33,31,53,23
"Nora",39,30,68,"33",70,21,33,38,81,64,49,29,"18",11,12,20,47,51,21,25
"Aria",52,14,17,"52",19,27,22,16,23,18,12,66,"22",32,32,21,62,53,35,35
"Mila",58,97,12,"41",17,26,11,23,13,36,7,77,"15",26,19,28,45,29,85,32
"Stella",60,62,82,"43",63,44,38,69,38,49,43,47,"51",34,14,29,28,27,87,62
"Natalie",63,56,46,"89",52,63,45,34,98,91,89,49,"37",68,43,34,60,71,24,45
"Luna",66,28,10,"17",8,13,24,28,10,15,5,24,"27",19,36,31,40,67,46,20
"Penelope",67,31,18,"47",18,18,31,39,26,61,90,46,"28",24,38,37,61,63,25,33
"Aurora",80,5,21,"21",42,96,57,62,24,55,14,40,"59",28,23,27,43,57,36,70
"Claire",100,42,88,"70",85,47,62,27,94,87,73,18,"45",50,45,36,101,62,29,59
